County,Month,Year,Application Status,Number of Applications
Fresno,1,2015,Applications/restorations approved,713
Fresno,1,2015,Total applications/restorations on hand,1405
Fresno,10,2010,Applications denied,575
Fresno,10,2010,Applications/requests for restoration received,1788
Fresno,10,2010,Applications/restorations approved,1050
Fresno,10,2010,Total applications/restorations on hand,2453
Fresno,10,2011,Applications denied,399
Fresno,10,2011,Applications/requests for restoration received,1653
Fresno,10,2011,Applications/restorations approved,1065
Fresno,10,2011,Total applications/restorations on hand,2189
Fresno,10,2012,Applications denied,576
Fresno,10,2012,Applications/requests for restoration received,2096
Fresno,10,2012,Applications/restorations approved,1161
Fresno,10,2012,Total applications/restorations on hand,2779
Fresno,10,2013,Applications denied,488
Fresno,10,2013,Applications/requests for restoration received,1701
Fresno,10,2013,Applications/restorations approved,889
Fresno,10,2013,Total applications/restorations on hand,2410
Fresno,10,2014,Applications denied,414
Fresno,10,2014,Applications/requests for restoration received,1557
Fresno,10,2014,Applications/restorations approved,853
Fresno,10,2014,Total applications/restorations on hand,1651
Fresno,11,2010,Applications denied,524
Fresno,11,2010,Applications/requests for restoration received,1739
Fresno,11,2010,Applications/restorations approved,1163
Fresno,11,2010,Total applications/restorations on hand,2514
Fresno,11,2011,Applications denied,428
Fresno,11,2011,Applications/requests for restoration received,1904
Fresno,11,2011,Applications/restorations approved,1078
Fresno,11,2011,Total applications/restorations on hand,2389
Fresno,11,2012,Applications denied,539
Fresno,11,2012,Applications/requests for restoration received,1974
Fresno,11,2012,Applications/restorations approved,1044
Fresno,11,2012,Total applications/restorations on hand,2725
Fresno,11,2013,Applications denied,434
Fresno,11,2013,Applications/requests for restoration received,1546
Fresno,11,2013,Applications/restorations approved,921
Fresno,11,2013,Total applications/restorations on hand,2281
Fresno,11,2014,Applications denied,297
Fresno,11,2014,Applications/requests for restoration received,1320
Fresno,11,2014,Applications/restorations approved,686
Fresno,11,2014,Total applications/restorations on hand,1488
Fresno,12,2010,Applications denied,582
Fresno,12,2010,Applications/requests for restoration received,1830
Fresno,12,2010,Applications/restorations approved,1275
Fresno,12,2010,Total applications/restorations on hand,2582
Fresno,12,2011,Applications denied,518
Fresno,12,2011,Applications/requests for restoration received,1618
Fresno,12,2011,Applications/restorations approved,1289
Fresno,12,2011,Total applications/restorations on hand,2583
Fresno,12,2012,Applications denied,553
Fresno,12,2012,Applications/requests for restoration received,1655
Fresno,12,2012,Applications/restorations approved,1111
Fresno,12,2012,Total applications/restorations on hand,2509
Fresno,12,2013,Applications denied,516
Fresno,12,2013,Applications/requests for restoration received,1525
Fresno,12,2013,Applications/restorations approved,816
Fresno,12,2013,Total applications/restorations on hand,2128
Fresno,12,2014,Applications denied,445
Fresno,12,2014,Applications/requests for restoration received,1470
Kings,11,2011,Applications denied,189
Fresno,12,2014,Applications/restorations approved,933
Fresno,12,2014,Total applications/restorations on hand,1571
Fresno,2,2010,Applications denied,444
Fresno,2,2010,Applications/requests for restoration received,1235
Fresno,2,2010,Applications/restorations approved,851
Fresno,2,2010,Total applications/restorations on hand,1877
Fresno,2,2011,Applications denied,426
Fresno,2,2011,Applications/requests for restoration received,1309
Fresno,2,2011,Applications/restorations approved,892
Fresno,2,2011,Total applications/restorations on hand,1946
Fresno,2,2012,Applications denied,396
Fresno,2,2012,Applications/requests for restoration received,1307
Fresno,2,2012,Applications/restorations approved,901
Fresno,2,2012,Total applications/restorations on hand,1850
Fresno,2,2013,Applications denied,399
Fresno,2,2013,Applications/requests for restoration received,1263
Fresno,2,2013,Applications/restorations approved,686
Fresno,2,2013,Total applications/restorations on hand,1593
Fresno,2,2014,Applications denied,395
Fresno,2,2014,Applications/requests for restoration received,1268
Fresno,2,2014,Applications/restorations approved,685
Fresno,2,2014,Total applications/restorations on hand,1869
Fresno,2,2015,Applications denied,349
Fresno,2,2015,Applications/requests for restoration received,992
Fresno,2,2015,Applications/restorations approved,470
Fresno,2,2015,Total applications/restorations on hand,1121
Fresno,3,2010,Applications denied,469
Fresno,3,2010,Applications/requests for restoration received,1603
Fresno,3,2010,Applications/restorations approved,1019
Fresno,3,2010,Total applications/restorations on hand,2070
Fresno,3,2011,Applications denied,408
Fresno,3,2011,Applications/requests for restoration received,1668
Fresno,3,2011,Applications/restorations approved,1092
Fresno,3,2011,Total applications/restorations on hand,2115
Fresno,3,2012,Applications denied,324
Fresno,3,2012,Applications/requests for restoration received,1498
Fresno,3,2012,Applications/restorations approved,944
Fresno,3,2012,Total applications/restorations on hand,1867
Fresno,3,2013,Applications denied,415
Fresno,3,2013,Applications/requests for restoration received,1444
Fresno,3,2013,Applications/restorations approved,766
Fresno,3,2013,Total applications/restorations on hand,1862
Fresno,3,2014,Applications denied,306
Fresno,3,2014,Applications/requests for restoration received,677
Fresno,3,2014,Applications/restorations approved,707
Fresno,3,2014,Total applications/restorations on hand,1806
Fresno,3,2015,Applications denied,390
Fresno,3,2015,Applications/requests for restoration received,1189
Fresno,3,2015,Applications/restorations approved,521
Fresno,3,2015,Total applications/restorations on hand,1298
Fresno,4,2010,Applications denied,476
Fresno,4,2010,Applications/requests for restoration received,1532
Fresno,4,2010,Applications/restorations approved,972
Fresno,4,2010,Total applications/restorations on hand,2076
Fresno,4,2011,Applications denied,406
Fresno,4,2011,Applications/requests for restoration received,1535
Fresno,4,2011,Applications/restorations approved,960
Fresno,4,2011,Total applications/restorations on hand,1942
Fresno,4,2012,Applications denied,390
Fresno,4,2012,Applications/requests for restoration received,1484
Fresno,4,2012,Applications/restorations approved,889
Fresno,4,2012,Total applications/restorations on hand,1904
Fresno,4,2013,Applications denied,423
Fresno,4,2013,Applications/requests for restoration received,1553
Fresno,4,2013,Applications/restorations approved,740
Fresno,4,2013,Total applications/restorations on hand,1956
Fresno,4,2014,Applications denied,372
Fresno,4,2014,Applications/requests for restoration received,1498
Fresno,4,2014,Applications/restorations approved,796
Fresno,4,2014,Total applications/restorations on hand,2000
Fresno,4,2015,Applications denied,467
Fresno,4,2015,Applications/requests for restoration received,1453
Fresno,4,2015,Applications/restorations approved,670
Fresno,4,2015,Total applications/restorations on hand,1564
Fresno,5,2010,Applications denied,427
Fresno,5,2010,Applications/requests for restoration received,1334
Fresno,5,2010,Applications/restorations approved,872
Fresno,5,2010,Total applications/restorations on hand,1891
Fresno,5,2011,Applications denied,395
Fresno,5,2011,Applications/requests for restoration received,1569
Fresno,5,2011,Applications/restorations approved,881
Fresno,5,2011,Total applications/restorations on hand,1926
Fresno,5,2012,Applications denied,370
Fresno,5,2012,Applications/requests for restoration received,1595
Fresno,5,2012,Applications/restorations approved,960
Fresno,5,2012,Total applications/restorations on hand,1989
Fresno,5,2013,Applications denied,444
Fresno,5,2013,Applications/requests for restoration received,1486
Fresno,5,2013,Applications/restorations approved,764
Fresno,5,2013,Total applications/restorations on hand,2010
Fresno,5,2014,Applications denied,355
Fresno,5,2014,Applications/requests for restoration received,1438
Fresno,5,2014,Applications/restorations approved,772
Fresno,5,2014,Total applications/restorations on hand,1937
Fresno,5,2015,Applications denied,459
Fresno,5,2015,Applications/requests for restoration received,1230
Fresno,5,2015,Applications/restorations approved,599
Fresno,5,2015,Total applications/restorations on hand,1365
Fresno,6,2010,Applications denied,522
Fresno,6,2010,Applications/requests for restoration received,1759
Fresno,6,2010,Applications/restorations approved,1040
Fresno,6,2010,Total applications/restorations on hand,2242
Fresno,6,2011,Applications denied,502
Fresno,6,2011,Applications/requests for restoration received,1710
Fresno,6,2011,Applications/restorations approved,962
Fresno,6,2011,Total applications/restorations on hand,2128
Fresno,6,2012,Applications denied,475
Fresno,6,2012,Applications/requests for restoration received,1712
Fresno,6,2012,Applications/restorations approved,906
Fresno,6,2012,Total applications/restorations on hand,2278
Fresno,6,2013,Applications denied,417
Fresno,6,2013,Applications/requests for restoration received,1469
Fresno,6,2013,Applications/restorations approved,691
Fresno,6,2013,Total applications/restorations on hand,1992
Fresno,6,2014,Applications denied,430
Fresno,6,2014,Applications/requests for restoration received,1789
Fresno,6,2014,Applications/restorations approved,765
Fresno,6,2014,Total applications/restorations on hand,2205
Fresno,6,2015,Applications denied,515
Fresno,6,2015,Applications/requests for restoration received,1543
Fresno,6,2015,Applications/restorations approved,603
Fresno,6,2015,Total applications/restorations on hand,1666
